34200.004241176,1,16113575,18,585.33,1
34200.025551909,1,16120456,18,585.91,-1
34200.201743336,3,16120456,18,585.91,-1
34200.201780978,3,16120480,18,585.92,-1
34200.205573445,1,16167159,18,585.36,1
34200.271739507,1,3647217,20,585.73,1
34200.271739507,1,5740544,40,585.74,-1
34200.275123235,1,16182649,50,585.74,1
34200.28039589,1,16183794,18,585.77,1
34200.347390612,1,16196199,100,585.93,-1
34200.419089711,1,16211220,18,585.92,-1
34200.459503459,3,16186225,100,585.7,1
34200.610751386,3,16211220,18,585.92,-1
34200.701389248,1,16265573,100,585.87,-1
34200.833761339,1,16284218,100,585.7,1
34200.834524603,3,16284218,100,585.7,1
34200.887488522,1,16291236,18,585.7,1
34200.887548747,1,16291244,18,585.71,1
34200.911977878,1,16294463,100,585.74,1
34201.015180053,1,16310817,18,585.66,1
34201.043832887,1,16316688,18,585.69,1
34201.171271698,3,16316688,18,585.69,1
34201.173094452,1,16337399,18,585.87,-1
34201.1731408,1,16337407,5,585.86,-1
34201.173141799,1,16337408,13,585.86,-1
34201.173174928,1,16337414,18,585.48,1
34201.17320583,1,16337423,18,585.84,-1
34201.183713008,1,16338748,15,585.49,1
34201.188124042,1,16339418,15,585.83,-1
34201.384238778,3,16338748,15,585.49,1
34201.39750588,1,16365896,100,585.8,-1
34201.536315252,1,16380157,18,585.77,-1
34201.732217592,1,16396043,18,585.47,1
34201.73236517,3,16380157,18,585.77,-1
34201.732368385,3,16380182,18,585.78,-1
34201.732392812,3,16380190,18,585.8,-1
34201.840762287,1,16402634,18,585.77,-1
34202.030451996,1,16415481,13,585.76,-1
34202.034349986,1,16415792,18,585.73,-1
34202.255342116,1,16445672,18,585.73,-1
34202.25538437,1,16445684,10,585.72,-1
34202.255391393,1,16445687,8,585.72,-1
34202.255445644,1,16445707,18,585.72,-1
34202.269697512,1,16449896,100,585.44,1
34202.272992647,3,16449896,100,585.44,1
34202.383613299,3,16445687,8,585.72,-1
34202.383614811,3,16445707,18,585.72,-1
34202.383643886,3,16445684,10,585.72,-1
34202.491574399,1,16479076,100,585.69,1
34202.491899451,3,16479076,100,585.69,1
34202.565551981,1,16486693,18,585.77,-1
34202.579213337,1,16488533,100,585.47,1
34202.682315289,1,16497956,18,585.74,-1
34202.682720418,1,16497983,18,585.71,-1
34202.737723008,1,16502634,100,585.71,-1
34202.75688423,1,16504889,18,585.68,-1
34203.011800486,3,16488533,100,585.47,1
34203.011926972,1,16527925,66,585.7,1
34203.012001355,3,16497983,18,585.71,-1
34203.012287906,1,16527982,18,585.45,1
34203.08949192,1,16535218,18,585.68,-1
34203.122241619,1,16538191,10,585.46,1
34203.132689191,1,16539283,12,585.65,-1
34203.295665697,1,16554356,18,585.46,1
34203.295825553,3,16535225,18,585.69,-1
34203.295826267,3,16535234,18,585.71,-1
34203.32437532,1,16556599,10,585.47,1
34203.407470515,1,16563530,18,585.68,-1
34203.600207608,3,16556599,10,585.47,1
34203.600228364,3,16563530,18,585.68,-1
34203.600245629,3,16563538,18,585.7,-1
34203.954770435,1,16617159,18,585.45,1
34204.105356795,1,16632807,18,585.47,1
34204.127697885,3,16502634,100,585.71,-1
34204.328788797,1,16655686,16,585.79,-1
34204.328940476,3,16632807,18,585.47,1
34204.328981067,3,16632813,2,585.46,1
34204.36362978,1,16658480,18,585.47,1
34204.398386311,1,16661173,18,585.76,-1
34204.56766787,3,16658480,18,585.47,1
34204.567694597,3,16658486,2,585.45,1
34204.567732501,3,16661173,18,585.76,-1
34204.570825637,1,16675424,16,585.79,-1
34204.576711342,1,16675936,100,585.47,1
34204.577104419,1,16675969,900,585.68,-1
34204.62133869,1,16679201,18,585.67,-1
34204.894275109,1,16704576,18,585.5,1
34204.894471165,3,16679201,18,585.67,-1
34205.175277367,3,16704576,18,585.5,1
34205.175293104,3,16704590,18,585.49,1
34205.175294192,3,16704592,2,585.48,1
34205.181076298,1,16730960,100,585.68,-1
34205.308995297,1,16746392,18,585.65,-1
34205.388462148,1,16752894,100,585.65,-1
34205.765257746,1,16779043,18,585.47,1
34205.765316823,1,16779073,14,585.48,1
34205.771753648,1,16781704,18,585.67,-1
34206.290141263,1,16818091,7,585.48,1
34206.290260156,3,16779073,14,585.48,1
34206.290261072,3,16781704,18,585.67,-1
34206.290892881,1,16818125,53,585.48,1
34206.29123036,1,16818137,52,585.48,1
34206.291527335,1,16818156,1,585.48,1
34206.291814072,1,16818175,5,585.48,1
34206.291925675,1,16818181,45,585.48,1
34206.29195232,1,16818182,39,585.48,1
34206.292254316,1,16818198,27,585.48,1
34206.801157647,1,16841958,18,585.66,-1
34206.965510203,3,16841958,18,585.66,-1
34208.041353062,1,16898660,2,585.68,-1
34208.48306653,1,16914630,100,585.49,1
34209.21194364,1,16939575,42,585.49,1
34209.477500287,1,16948611,320,585.68,-1
34209.481087627,1,16948722,320,585.68,-1
34209.494770026,1,16949037,67,585.49,1
34209.506557426,3,16948611,320,585.68,-1
34209.522721597,1,16949716,320,585.68,-1
34209.542622307,1,16950346,18,585.5,1
34209.780806936,1,16957682,18,585.68,-1
34209.780840766,1,16957685,18,585.67,-1
34209.786266076,1,16958115,2,585.66,-1
34209.801542957,3,16675936,66,585.47,1
34209.808502833,1,16958771,66,585.49,1
34209.829435704,1,16959555,169,585.66,-1
34209.830562764,3,16959555,169,585.66,-1
34209.831705108,1,16959614,169,585.66,-1
34209.832801235,3,16959614,169,585.66,-1
34209.833894341,1,16959673,169,585.66,-1
34209.834919765,3,16959673,169,585.66,-1
34210.047332639,1,16972144,18,585.47,1
34210.047460295,3,16958115,2,585.66,-1
34210.131535502,1,16979328,18,585.65,-1
34210.241247257,3,16972144,18,585.47,1
34210.241257287,3,16972157,4,585.46,1
34210.526792927,3,16979328,18,585.65,-1
34210.526810312,3,16979339,18,585.68,-1
34210.632267021,1,17011325,18,585.66,-1
34210.756845815,1,17020774,320,585.66,-1
34210.75693317,3,17011325,18,585.66,-1
34210.847553594,1,17026393,18,585.63,-1
34210.868110685,1,17027766,320,585.63,-1
34210.90226879,1,17029589,14,585.61,-1
34210.908120663,1,17030071,320,585.61,-1
34211.146132928,3,16249592,50,585.44,1
34211.146282398,3,17029589,14,585.61,-1
34211.226849977,1,17047419,18,585.58,-1
34211.388089305,3,17047419,18,585.58,-1
34211.388104371,3,17047425,18,585.61,-1
34211.439240606,1,17055489,100,585.58,-1
34211.506656257,1,17057352,320,585.58,-1
34211.683403235,1,17065496,320,585.56,-1
34212.052057667,1,17077786,18,585.54,-1
34212.053609867,1,17077932,320,585.54,-1
34212.057109841,1,17078173,18,585.52,-1
34212.05824151,1,17078284,320,585.52,-1
34212.08008559,1,17079484,143,585.39,-1
34212.080287308,1,17079499,1,585.39,1
34212.081038785,1,17079564,320,585.52,-1
34212.08134726,3,17078284,320,585.52,-1
34212.267055429,1,17090001,320,585.51,-1
34212.555647156,1,17099848,27,585.5,-1
34212.557195301,1,17099873,320,585.5,-1
34212.582853636,3,17099848,27,585.5,-1
34213.897096657,1,17132504,320,585.43,-1
34214.181907793,1,17140921,18,585.31,1
34214.313574215,1,17144557,320,585.42,-1
34214.313671934,3,17140921,18,585.31,1
34214.313672671,3,17140924,4,585.3,1
34215.089261118,1,17166135,100,585.36,1
34215.222997296,1,17172314,251,585.43,-1
34215.223443124,3,17172314,251,585.43,-1
34217.169719861,3,17082021,100,585.54,-1
34217.169871376,1,17248317,100,585.57,-1
34217.205484251,1,17249867,18,585.36,1
34217.205745954,1,17250016,4,585.37,1
34217.206561301,1,17250485,59,585.58,-1
34218.299372333,1,17293774,18,585.67,-1
34218.457787528,1,17300494,18,585.64,-1
34218.457910779,3,17250016,4,585.37,1
34219.279164832,1,17324274,18,585.64,-1
34219.320087956,1,17325121,18,585.63,-1
34219.517076244,1,17329817,44,585.44,-1
34219.517301103,3,17325121,18,585.63,-1
34219.517343909,1,17329859,18,585.62,-1
34219.517476892,3,17329859,18,585.62,-1
34219.517830407,1,17329912,18,585.68,-1
34219.517859255,1,17329915,18,585.67,-1
34219.517901648,1,17329922,8,585.65,-1
34219.524768526,1,17331198,18,585.36,1
34219.530966388,1,17332747,18,585.65,-1
34219.54078667,1,17334022,18,585.62,-1
34220.114770695,1,17354342,100,585.41,1
34220.270330299,1,17359068,14,585.61,-1
34221.023828585,1,17382133,18,585.58,-1
34222.480409206,3,17382133,18,585.58,-1
34222.480410913,3,17359068,14,585.61,-1
34222.480429642,3,17382136,18,585.61,-1
34222.670364787,1,17433600,100,585.4,1
34223.052115679,1,17443748,18,585.4,1
34223.052156873,1,17443753,4,585.41,1
34223.064575892,1,17444108,35,585.43,1
34223.272881711,1,17451852,18,585.68,-1
34223.272916778,1,17451856,18,585.67,-1
34224.087987753,3,17451856,18,585.67,-1
34224.087990258,3,17451852,18,585.68,-1
34225.019786766,1,17494351,18,585.46,1
34226.365420435,3,17494351,18,585.46,1
34226.452728871,3,17444108,35,585.43,1
34226.533704582,1,17537269,18,585.65,-1
34226.826003805,3,17537269,18,585.65,-1
34226.826009596,3,17537270,18,585.66,-1
34226.826010048,3,17537272,18,585.68,-1
34226.974302106,1,17547517,18,585.65,-1
34227.437330595,1,17564371,100,585.47,1
34227.437468645,3,17547517,18,585.65,-1
34227.43746982,3,17547518,18,585.66,-1
