BuyOrderID,SellOrderID,Price,Quantity,Timestamp
7,4,100.5,500,1757283592008
1,8,99.5,750,1757283592008
9,4,100.5,300,1757283592008
12,4,100.5,200,1757283592008
12,11,100.52,800,1757283592008
12,5,100.55,500,1757283592008
1,13,99.5,250,1757283592008
10,13,99.48,1200,1757283592008
2,13,99.45,550,1757283592008
14,5,100.55,1000,1757283592008
14,6,100.6,2000,1757283592008
2,15,99.45,950,1757283592008
3,15,99.4,1550,1757283592008
46,45,100.1,145,1757283592008
46,43,100.12,143,1757283592008
46,41,100.14,141,1757283592008
46,39,100.16,71,1757283592008
44,47,99.89,144,1757283592008
42,47,99.87,142,1757283592008
40,47,99.85,140,1757283592008
38,47,99.83,138,1757283592008
36,47,99.81,136,1757283592008
48,39,100.16,68,1757283592008
48,37,100.18,32,1757283592008
34,68,99.79,100,1757283592008
49,37,100.18,100,1757283592008
34,69,99.79,34,1757283592008
32,69,99.77,66,1757283592008
50,37,100.18,5,1757283592008
50,35,100.2,95,1757283592008
32,70,99.77,66,1757283592008
30,70,99.75,34,1757283592008
51,35,100.2,40,1757283592008
51,33,100.22,60,1757283592008
30,71,99.75,96,1757283592008
28,71,99.73,4,1757283592008
52,33,100.22,73,1757283592008
52,31,100.24,27,1757283592008
28,72,99.73,100,1757283592008
53,31,100.24,100,1757283592008
28,73,99.73,24,1757283592008
26,73,99.71,76,1757283592008
54,31,100.24,4,1757283592008
54,29,100.26,96,1757283592008
26,74,99.71,50,1757283592008
3,74,99.4,50,1757283592008
55,29,100.26,33,1757283592008
55,27,100.28,67,1757283592008
3,75,99.4,100,1757283592008
56,27,100.28,60,1757283592008
3,76,99.4,100,1757283592008
3,77,99.4,100,1757283592008
3,78,99.4,100,1757283592008
